S No.;Date;App Name;Usage (in Seconds);Launch Count;is Monitoring;is SystemApp;Package Name
1658;2020/03/13;Chrome;277;10;Yes;No;com.android.chrome
1659;2020/03/14;Gmail;353;19;Yes;No;com.google.android.gm
1660;2020/03/13;Gmail;1112;40;Yes;No;com.google.android.gm
1661;2020/03/13;Google;118;9;Yes;No;com.google.android.googlequicksearchbox
1662;2020/03/14;Google;24;3;Yes;No;com.google.android.googlequicksearchbox
1663;2020/03/13;YourHour;95;4;Yes;No;com.mindefy.phoneaddiction.mobilepe
1664;2020/03/14;Twitter;297;1;Yes;No;com.twitter.android
1665;2020/03/14;System UI;2;2;No;Yes;com.android.systemui
1666;2020/03/13;System UI;5;4;No;Yes;com.android.systemui
1667;2020/03/13;Tinder (Uninstalled);32;2;Yes;No;com.tinder
1668;2020/03/13;Spotify;211;4;No;No;com.spotify.music
1669;2020/03/13;Manage calls;0;1;No;Yes;com.android.server.telecom
1670;2020/03/13;LinkedIn (Uninstalled);439;35;Yes;No;com.linkedin.android
1671;2020/03/14;LinkedIn (Uninstalled);650;15;Yes;No;com.linkedin.android
1672;2020/03/14;Phone;1037;1;Yes;No;com.android.incallui
1673;2020/03/13;Phone;348;3;Yes;No;com.android.incallui
1674;2020/03/15;Security;9;1;Yes;No;com.miui.securitycenter
1675;2020/03/17;Maps;266;2;Yes;No;com.google.android.apps.maps
1676;2020/03/15;System launcher;917;84;No;Yes;com.miui.home
1677;2020/03/15;Instagram;910;9;Yes;No;com.instagram.android
1678;2020/03/16;System launcher;679;59;No;Yes;com.miui.home
1679;2020/03/16;Browser;242;4;Yes;No;com.android.browser
1680;2020/03/17;System launcher;703;140;No;Yes;com.miui.home
1681;2020/03/17;Browser;338;5;Yes;No;com.android.browser
1682;2020/03/16;Instagram;420;6;Yes;No;com.instagram.android
1683;2020/03/17;Instagram;5450;33;Yes;No;com.instagram.android
1684;2020/03/17;Android system;7;4;No;Yes;android
1685;2020/03/16;Android system;10;4;No;Yes;android
1686;2020/03/15;Android system;1;1;No;Yes;android
1687;2020/03/15;Clock;28;2;Yes;No;com.android.deskclock
1688;2020/03/16;Clock;59;4;Yes;No;com.android.deskclock
1689;2020/03/16;Google;5;1;Yes;No;com.google.android.googlequicksearchbox
1690;2020/03/17;Clock;50;7;Yes;No;com.android.deskclock
1691;2020/03/17;Gmail;835;51;Yes;No;com.google.android.gm
1692;2020/03/17;Google;234;14;Yes;No;com.google.android.googlequicksearchbox
1693;2020/03/16;Gmail;345;11;Yes;No;com.google.android.gm
1694;2020/03/15;Gmail;524;25;Yes;No;com.google.android.gm
1695;2020/03/15;Google;115;8;Yes;No;com.google.android.googlequicksearchbox
1696;2020/03/17;Twitter;385;7;Yes;No;com.twitter.android
1697;2020/03/16;Twitter;424;5;Yes;No;com.twitter.android
1698;2020/03/15;Twitter;16;2;Yes;No;com.twitter.android
1699;2020/03/15;Tinder (Uninstalled);24;2;Yes;No;com.tinder
1700;2020/03/16;Tinder (Uninstalled);56;2;Yes;No;com.tinder
1701;2020/03/17;Tinder (Uninstalled);381;4;Yes;No;com.tinder
1702;2020/03/17;Camera;67;2;Yes;No;com.android.camera
1703;2020/03/16;WhatsApp;4856;94;Yes;No;com.whatsapp
1704;2020/03/15;WhatsApp;5896;128;Yes;No;com.whatsapp
1705;2020/03/17;WhatsApp;4616;98;Yes;No;com.whatsapp
1706;2020/03/15;EL PAÍS;805;5;Yes;No;com.elpais.elpais
1707;2020/03/16;EL PAÍS;415;2;Yes;No;com.elpais.elpais
1708;2020/03/16;Spotify;95;3;No;No;com.spotify.music
1709;2020/03/17;Spotify;348;10;No;No;com.spotify.music
1710;2020/03/16;Contacts and dialer;66;3;Yes;No;com.android.contacts
1711;2020/03/16;Messaging;190;3;Yes;No;com.android.mms
1712;2020/03/17;Contacts and dialer;0;1;Yes;No;com.android.contacts
1713;2020/03/15;Chrome;1378;11;Yes;No;com.android.chrome
1714;2020/03/15;YourHour;20;2;Yes;No;com.mindefy.phoneaddiction.mobilepe
1715;2020/03/16;Chrome;347;8;Yes;No;com.android.chrome
1716;2020/03/17;Facebook;30;1;Yes;No;com.facebook.katana
